"Input Order","Search Term","Mouse GeneID","MGIID","Mouse Symbol","Species 2","Human GeneID","Human Species Gene ID","Human Symbol","Ensmbl ID (link HPA)","DIOPT Score","Weighted Score","Rank","Best Score","Best Score Reverse","Prediction Derived From","Alignment & Scores","Feedback","Gene Details"
"140","O35728","13119","1096550","Cyp4a14","Human","284541","20575","CYP4A22","ENSG00000162365","9","8.79","moderate","Yes","No","eggNOG, OrthoDB, TreeFam, OMA, OrthoFinder, orthoMCL, Panther, Phylome, SonicParanoid","","Add","G2F details (CYP4A22)    DRscDB Data: (CYP4A22)                             Human Protein Atlas  (HPA)"
"141","O35737","59013","1891925","Hnrnph1","Human","3187","5041","HNRNPH1","ENSG00000169045","19","19.3","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (HNRNPH1)    DRscDB Data: (HNRNPH1)                             Human Protein Atlas  (HPA)"
"142","O35744","12655","1330860","Chil3","Human","27159","17432","CHIA","ENSG00000134216","10","9.85","moderate","Yes","No","Compara, eggNOG, OrthoDB, TreeFam, OMA, OrthoFinder, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (CHIA)    DRscDB Data: (CHIA)                             Human Protein Atlas  (HPA)"
"143","O35841","11800","1888993","Api5","Human","8539","594","API5","ENSG00000166181","18","18.29","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (API5)    DRscDB Data: (API5)                             Human Protein Atlas  (HPA)"
"144","O35857","21856","1343262","Timm44","Human","10469","17316","TIMM44","ENSG00000104980","19","19.24","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (TIMM44)    DRscDB Data: (TIMM44)                             Human Protein Atlas  (HPA)"
"145","O35864","26754","1349415","Cops5","Human","10987","2240","COPS5","ENSG00000121022","17","17.21","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, SonicParanoid","","Add","G2F details (COPS5)    DRscDB Data: (COPS5)                             Human Protein Atlas  (HPA)"
"146","O35900","27756","90676","Lsm2","Human","57819","13940","LSM2","ENSG00000204392","18","18.3","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (LSM2)    DRscDB Data: (LSM2)                             Human Protein Atlas  (HPA)"
"147","O35943","14297","1096879","Fxn","Human","2395","3951","FXN","ENSG00000165060","15","15.4","high","Yes","Yes","Compara, HGNC, Homologene, NCBI, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, SonicParanoid, SwiftOrtho","","Add","G2F details (FXN)    DRscDB Data: (FXN)                             Human Protein Atlas  (HPA)"
"148","O35945","26358","1347050","Aldh1a7","Human","216","402","ALDH1A1","ENSG00000165092","14","14.27","moderate","Yes","No","Compara, eggNOG, HGNC, OrthoDB, TreeFam, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, SonicParanoid","","Add","G2F details (ALDH1A1)    DRscDB Data: (ALDH1A1)                             Human Protein Atlas  (HPA)"
"149","O35969","14431","1098221","Gamt","Human","2593","4136","GAMT","ENSG00000130005","18","18.24","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (GAMT)    DRscDB Data: (GAMT)                             Human Protein Atlas  (HPA)"
"150","O35988","20971","1349164","Sdc4","Human","6385","10661","SDC4","ENSG00000124145","18","18.29","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (SDC4)    DRscDB Data: (SDC4)                             Human Protein Atlas  (HPA)"
"151","O54692","26951","1349478","Zw10","Human","9183","13194","ZW10","ENSG00000086827","18","18.24","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (ZW10)    DRscDB Data: (ZW10)                             Human Protein Atlas  (HPA)"
"152","O54724","19285","1277968","Cavin1","Human","284119","9688","CAVIN1","ENSG00000177469","19","19.24","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (CAVIN1)    DRscDB Data: (CAVIN1)                             Human Protein Atlas  (HPA)"
"153","O54734","13200","1194508","Ddost","Human","1650","2728","DDOST","ENSG00000244038","16","16.43","high","Yes","Yes","Compara, HGNC, Homologene, NCBI, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (DDOST)    DRscDB Data: (DDOST)                             Human Protein Atlas  (HPA)"
"154","O54749","13109","1270149","Cyp2j5","Human","1573","2634","CYP2J2","ENSG00000134716","9","8.79","moderate","Yes","No","eggNOG, OrthoDB, TreeFam, OMA, OrthoFinder, orthoMCL, Panther, Phylome, SonicParanoid","","Add","G2F details (CYP2J2)    DRscDB Data: (CYP2J2)                             Human Protein Atlas  (HPA)"
"155","O54754","11761","88035","Aox1","Human","316","553","AOX1","ENSG00000138356","19","19.22","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, SonicParanoid, SwiftOrtho","","Add","G2F details (AOX1)    DRscDB Data: (AOX1)                             Human Protein Atlas  (HPA)"
"156","O54774","11776","107734","Ap3d1","Human","8943","568","AP3D1","ENSG00000065000","16","16.39","high","Yes","Yes","Compara, HGNC, Homologene, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (AP3D1)    DRscDB Data: (AP3D1)                             Human Protein Atlas  (HPA)"
"157","O54781","20817","1201408","Srpk2","Human","6733","11306","SRPK2","ENSG00000135250","18","18.29","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (SRPK2)    DRscDB Data: (SRPK2)                             Human Protein Atlas  (HPA)"
"158","O54833","13000","88547","Csnk2a2","Human","1459","2459","CSNK2A2","ENSG00000070770","18","18.24","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (CSNK2A2)    DRscDB Data: (CSNK2A2)                             Human Protein Atlas  (HPA)"
"159","O54931","677884","5141924","Pakap","Human","445815","33529","PALM2AKAP2","ENSG00000157654","14","13.69","high","Yes","Yes","Compara, eggNOG, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Phylome, RoundUp, SonicParanoid","","Add","G2F details (PALM2AKAP2)    DRscDB Data: (PALM2AKAP2)                             Human Protein Atlas  (HPA)"
"160","O54941","57376","1927347","Smarce1","Human","6605","11109","SMARCE1","ENSG00000073584","18","18.24","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (SMARCE1)    DRscDB Data: (SMARCE1)                             Human Protein Atlas  (HPA)"
"161","O54946","23950","1344381","Dnajb6","Human","10049","14888","DNAJB6","ENSG00000105993","18","18.27","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, SonicParanoid, SwiftOrtho","","Add","G2F details (DNAJB6)    DRscDB Data: (DNAJB6)                             Human Protein Atlas  (HPA)"
"162","O54950","19082","108411","Prkag1","Human","5571","9385","PRKAG1","ENSG00000181929","17","17.12","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Phylome, SonicParanoid","","Add","G2F details (PRKAG1)    DRscDB Data: (PRKAG1)                             Human Protein Atlas  (HPA)"
"163","O54962","23825","1346330","Banf1","Human","8815","17397","BANF1","ENSG00000175334","18","18.22","high","Yes","Yes","eggNOG, HGNC, Homologene, Isobase, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (BANF1)    DRscDB Data: (BANF1)                             Human Protein Atlas  (HPA)"
"164","O54984","56495","1928379","Get3","Human","439","752","GET3","ENSG00000198356","19","19.24","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (GET3)    DRscDB Data: (GET3)                             Human Protein Atlas  (HPA)"
"165","O54988","20874","103241","Slk","Human","9748","11088","SLK","ENSG00000065613","18","18.3","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (SLK)    DRscDB Data: (SLK)                             Human Protein Atlas  (HPA)"
"166","O55003","12176","109326","Bnip3","Human","664","1084","BNIP3","","13","13.6","high","Yes","Yes","HGNC, Homologene, NCBI, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (BNIP3)    DRscDB Data: (BNIP3)                             Human Protein Atlas  (HPA)"
"167","O55022","53328","1858305","Pgrmc1","Human","10857","16090","PGRMC1","ENSG00000101856","20","20.25","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (PGRMC1)    DRscDB Data: (PGRMC1)                             Human Protein Atlas  (HPA)"
"168","O55029","50797","1354962","Copb2","Human","9276","2232","COPB2","ENSG00000184432","20","20.25","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (COPB2)    DRscDB Data: (COPB2)                             Human Protein Atlas  (HPA)"
"169","O55042","20617","1277151","Snca","Human","6622","11138","SNCA","ENSG00000145335","19","19.24","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (SNCA)    DRscDB Data: (SNCA)                             Human Protein Atlas  (HPA)"
"170","O55060","22017","98812","Tpmt","Human","7172","12014","TPMT","ENSG00000137364","20","20.25","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (TPMT)    DRscDB Data: (TPMT)                             Human Protein Atlas  (HPA)"
"171","O55106","268980","1333757","Strn","Human","6801","11424","STRN","ENSG00000115808","19","19.3","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (STRN)    DRscDB Data: (STRN)                             Human Protein Atlas  (HPA)"
"172","O55111","13511","1196466","Dsg2","Human","1829","3049","DSG2","ENSG00000046604","17","17.37","high","Yes","Yes","eggNOG, HGNC, Homologene, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (DSG2)    DRscDB Data: (DSG2)                             Human Protein Atlas  (HPA)"
"173","O55125","18082","1278344","Nipsnap1","Human","8508","7827","NIPSNAP1","ENSG00000184117","18","18.3","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (NIPSNAP1)    DRscDB Data: (NIPSNAP1)                             Human Protein Atlas  (HPA)"
"174","O55128","20220","1277978","Sap18","Human","10284","10530","SAP18","ENSG00000150459","18","18.34","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, OrthoDB, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (SAP18)    DRscDB Data: (SAP18)                             Human Protein Atlas  (HPA)"
"175","O55131","235072","1335094","Septin7","Human","989","1717","SEPTIN7","ENSG00000122545","19","19.25","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (SEPTIN7)    DRscDB Data: (SEPTIN7)                             Human Protein Atlas  (HPA)"
"176","O55135","16418","1196288","Eif6","Human","3692","6159","EIF6","ENSG00000242372","17","17.29","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (EIF6)    DRscDB Data: (EIF6)                             Human Protein Atlas  (HPA)"
"177","O55142","57808","1928894","Rpl35a","Human","6165","10345","RPL35A","ENSG00000182899","16","16.43","high","Yes","Yes","Compara, HGNC, Homologene, NCBI, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (RPL35A)    DRscDB Data: (RPL35A)                             Human Protein Atlas  (HPA)"
"178","O55143","11938","88110","Atp2a2","Human","488","812","ATP2A2","ENSG00000174437","18","18.3","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (ATP2A2)    DRscDB Data: (ATP2A2)                             Human Protein Atlas  (HPA)"
"179","O55201","20924","1202400","Supt5","Human","6829","11469","SUPT5H","ENSG00000196235","17","17.39","high","Yes","Yes","Compara, HGNC, Homologene, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (SUPT5H)    DRscDB Data: (SUPT5H)                             Human Protein Atlas  (HPA)"
"180","O55222","16202","1195267","Ilk","Human","3611","6040","ILK","ENSG00000166333","18","18.24","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (ILK)    DRscDB Data: (ILK)                             Human Protein Atlas  (HPA)"
"181","O55229","12651","1328313","Chkb","Human","1120","1938","CHKB","ENSG00000100288","18","18.24","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (CHKB)    DRscDB Data: (CHKB)                             Human Protein Atlas  (HPA)"
"182","O55234","19173","1194513","Psmb5","Human","5693","9542","PSMB5","ENSG00000100804","19","19.24","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (PSMB5)    DRscDB Data: (PSMB5)                             Human Protein Atlas  (HPA)"
"183","O55239","18113","1099443","Nnmt","Human","4837","7861","NNMT","ENSG00000166741","19","19.25","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (NNMT)    DRscDB Data: (NNMT)                             Human Protein Atlas  (HPA)"
"184","O70152","13480","1330239","Dpm1","Human","8813","3005","DPM1","ENSG00000000419","18","18.29","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (DPM1)    DRscDB Data: (DPM1)                             Human Protein Atlas  (HPA)"
"185","O70194","55944","1933181","Eif3d","Human","8664","3278","EIF3D","ENSG00000100353","17","17.29","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (EIF3D)    DRscDB Data: (EIF3D)                             Human Protein Atlas  (HPA)"
"186","O70200","11629","1343098","Aif1","Human","199","352","AIF1","ENSG00000204472","15","15.41","high","Yes","Yes","Compara, HGNC, Homologene, NCBI, OrthoDB, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, SonicParanoid","","Add","G2F details (AIF1)    DRscDB Data: (AIF1)                             Human Protein Atlas  (HPA)"
"187","O70250","56012","1933118","Pgam2","Human","5224","8889","PGAM2","ENSG00000164708","19","19.25","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (PGAM2)    DRscDB Data: (PGAM2)                             Human Protein Atlas  (HPA)"
"188","O70251","55949","1929520","Eef1b2","Human","1933","3208","EEF1B2","ENSG00000114942","18","18.24","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (EEF1B2)    DRscDB Data: (EEF1B2)                             Human Protein Atlas  (HPA)"
"189","O70252","15369","109373","Hmox2","Human","3163","5014","HMOX2","ENSG00000103415","19","19.25","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (HMOX2)    DRscDB Data: (HMOX2)                             Human Protein Atlas  (HPA)"
"190","O70305","20239","1277223","Atxn2","Human","6311","10555","ATXN2","ENSG00000204842","15","15.43","high","Yes","Yes","Compara, HGNC, Homologene, NCBI, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (ATXN2)    DRscDB Data: (ATXN2)                             Human Protein Atlas  (HPA)"
"191","O70310","18107","102579","Nmt1","Human","4836","7857","NMT1","ENSG00000136448","17","17.44","high","Yes","Yes","Compara, HGNC, Homologene, NCBI, OrthoDB, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (NMT1)    DRscDB Data: (NMT1)                             Human Protein Atlas  (HPA)"
"192","O70318","13822","103009","Epb41l2","Human","2037","3379","EPB41L2","ENSG00000079819","19","19.3","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (EPB41L2)    DRscDB Data: (EPB41L2)                             Human Protein Atlas  (HPA)"
"193","O70325","625249","104767","Gpx4","Human","2879","4556","GPX4","ENSG00000167468","19","19.3","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (GPX4)    DRscDB Data: (GPX4)                             Human Protein Atlas  (HPA)"
"194","O70362","14756","106604","Gpld1","Human","2822","4459","GPLD1","ENSG00000112293","20","20.25","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (GPLD1)    DRscDB Data: (GPLD1)                             Human Protein Atlas  (HPA)"
"195","O70370","13040","107341","Ctss","Human","1520","2545","CTSS","ENSG00000163131","20","20.25","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (CTSS)    DRscDB Data: (CTSS)                             Human Protein Atlas  (HPA)"
"196","O70378","18117","1343095","Emc8","Human","10328","7864","EMC8","ENSG00000131148","18","18.29","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (EMC8)    DRscDB Data: (EMC8)                             Human Protein Atlas  (HPA)"
"197","O70400","54132","1860611","Pdlim1","Human","9124","2067","PDLIM1","ENSG00000107438","20","20.25","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (PDLIM1)    DRscDB Data: (PDLIM1)                             Human Protein Atlas  (HPA)"
"198","O70404","22320","1336882","Vamp8","Human","8673","12647","VAMP8","ENSG00000118640","18","18.3","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (VAMP8)    DRscDB Data: (VAMP8)                             Human Protein Atlas  (HPA)"
"199","O70435","19167","104883","Psma3","Human","5684","9532","PSMA3","ENSG00000100567","19","19.25","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (PSMA3)    DRscDB Data: (PSMA3)                             Human Protein Atlas  (HPA)"
"200","O70439","53331","1858210","Stx7","Human","8417","11442","STX7","ENSG00000079950","18","18.3","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (STX7)    DRscDB Data: (STX7)                             Human Protein Atlas  (HPA)"
"201","O70475","22235","1306785","Ugdh","Human","7358","12525","UGDH","ENSG00000109814","18","18.21","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Isobase, NCBI, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, SonicParanoid, SwiftOrtho","","Add","G2F details (UGDH)    DRscDB Data: (UGDH)                             Human Protein Atlas  (HPA)"
"202","O70492","54198","1860188","Snx3","Human","8724","11174","SNX3","ENSG00000112335","18","18.3","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (SNX3)    DRscDB Data: (SNX3)                             Human Protein Atlas  (HPA)"
"203","O70493","55988","1919331","Snx12","Human","29934","14976","SNX12","ENSG00000147164","17","17.27","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, NCBI, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, SonicParanoid","","Add","G2F details (SNX12)    DRscDB Data: (SNX12)                             Human Protein Atlas  (HPA)"
